No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
7098,mantap gak perlu lagi isi data diri manual,mantap isi data manual,positif,positif,positif
7099,mantaap,mantap,positif,positif,positif
7100,tetap amanah,amanah,positif,positif,positif
7101,Siip.. sangat membantu dan bermanfaat.. terima kasih,sip bantu manfaat terima kasih,positif,positif,positif
7102,"tujuannya untuk mempermudah bukan mempersulit, mengayomi dan melayani",tuju mudah sulit ayom layan,positif,positif,positif
7103,Alhamdulillah dh dikirim cepet 10 hari,alhamdulillah dah kirim cepat,positif,positif,positif
7104,"sangat membantu, terimakasih...",bantu terimakasih,positif,positif,positif
7105,"Wes mantap, gak harus hadir di SAMSAT 👌👌",wes mantap hadir samsat,positif,positif,positif
7106,Sangat membantu...,bantu,positif,positif,positif
7107,Sangat membantu & memudahkan Semoga kedepan semakin dipermudah 👍,bantu mudah moga depan mudah,positif,positif,positif
7108,"gagal terus gmn mau bayar pajak stiap mau di daftarkan gagal... tolong perbaiki jgn pengennya rakyat harus bayar pajak taat pajak tp sistem nya slalu eror,. pembayaran lewat aplikasi atau transfer apapun ga bisa,. tolong tindak lanjuti",gagal bayar pajak daftar gagal tolong baik ken rakyat bayar pajak taat pajak sistem ya eror bayar aplikasi transfer apa tolong tindak lanjut,negatif,negatif,negatif
7109,sangat mudah untuk pembayaran pajak,mudah bayar pajak,positif,positif,positif
7110,"aplikasinya mudah digunakan, sangat efektif dan efisien",aplikasi mudah efektif efisien,positif,positif,positif
7111,pemerosesannya sebaiknya dipercepat dan terima kasih buktinya sudah diterima,pemerosesannya cepat terima kasih bukti terima,positif,positif,positif
7112,pembayaran mudah cepat .kebyakan biayah tambahan smpe 40 RB dri yg harus yg di byrkan,bayar mudah cepat kebyakan biayah tambah ribu byrkan,positif,positif,positif
7113,"peraktis, cepat, dan sangat membatu memudahkan bayar pajak. terima kasih..",peraktis cepat batu mudah bayar pajak terima kasih,positif,positif,positif
7114,mau bayar pajak motor waktu klik daftar error terus.,bayar pajak motor klik daftar error,negatif,negatif,negatif
7115,praktis dan efisien,praktis efisien,positif,positif,positif
7116,bagus terus tingkatkan maju terus polri Indonesia aplikasi mempermudah samsat tanpa harus datang ke kantor samsat,bagus tingkat maju polri indonesia aplikasi mudah samsat kantor samsat,positif,positif,positif
7117,mantap ..CPT terima kasih,mantap cepat terima kasih,positif,positif,positif
7118,"terima kasih banyak atas proses regenerasi ulang sangat mudah,",terima kasih proses regenerasi ulang mudah,positif,positif,positif
7119,semua OK. yg ngurangin OK nya mah lama bingit pengirimannya,ok ngurangin ok ya mah banget kirim,positif,positif,positif
7120,"sudah 2x bayar online.. karena kendaraan luar kota, lebih mudah",kali bayar online kendara kota mudah,positif,positif,positif
7121,sangat membantu mantabh josss,bantu mantabh josss,positif,positif,positif
7122,mantap sekali kemudahan nya,mantap mudah ya,positif,positif,positif
7123,pengiriman cukup lama. 12 harian.,kirim hari,positif,positif,positif
7124,"sangat membantu, pengesahan nya sedikit lama tapi tetep nyampe stnk nya👍",bantu kesah ya stnk ya,positif,positif,positif
7125,bintang yang bicara,bintang bicara,positif,positif,positif
7126,"saya mau masuk aplikasi signal tapi muncul keterangan no kendaraan sudah terdaftar, maksudnya gmn ya dan solusinya gmn, makasih",masuk aplikasi signal muncul terang no kendara daftar maksud ya solusi,positif,positif,positif
7127,"good, terus pertahankan kecepatan pelayanan !",good tahan cepat layan,positif,positif,positif
7128,harganya terlalu mahal harusnya cuma 260 jadi 300,harga mahal,positif,positif,positif
7129,"keren, no calo. no pungli diantar plus minus 7hari kerja. good job polri akhirnya ada gebrakan.",keren no calo no pungli antar plus minus kerja good job polri gebrak,positif,positif,positif
7130,"2 minggu setelah transaksi baru dikirim, dikirim kalo ada pengaduan lewat email. pelayanan lemot",minggu transaksi kirim kirim adu email layan lot,negatif,negatif,negatif
7131,sangat membantu & mudah,bantu mudah,positif,positif,positif
7132,mudah sekali (kalo pajak+ganti plat bisa ga ya??),mudah pajakganti plat ya,positif,positif,positif
7133,Sangat mudah dan membantu (user friendly and helpful).,mudah bantu user friendly and helpful,positif,positif,positif
7134,"kelass, jadi gak repot2 lagi ngurus2 nyaa",kelass repot urus nya,positif,positif,positif
7135,"mantap, mempermudah dalam pembayaran pajak. lebih ditingkatkan lagi & terus berkembang",mantap mudah bayar pajak tingkat kembang,positif,positif,positif
7136,Mantap! Memudahkan kita membayar pajak kendaraan bermotor,mantap mudah bayar pajak kendara motor,positif,positif,positif
7137,sebenarnya lebih cepat lsg ke Samsat si buat yg ga terlalu sibuk tp saya ga bisa libur jadi dengan Samsat online ini amat sangat membantu.. terimakasih,cepat langsung samsat sih sibuk libur samsat online bantu terimakasih,positif,positif,positif
7138,tinggal bayar duduk manis pajak STNK datang,tinggal bayar duduk manis pajak stnk,positif,positif,positif
7139,haloo pak STNK saya sampai sekarang blm terkirim padahal milih yg ekspres kemana saya bisa TLP ya,haloo stnk kirim pilih ekspres mana telepon ya,negatif,negatif,negatif
7140,"paketnya sampe dgn baik, aplikasi ini sangat sangat membantu, bagi masyarakat yg tidak dapat langsung datang ke kantor samsat☺, terimakasih",paket aplikasi bantu masyarakat langsung kantor samsat terimakasih,positif,positif,positif
7141,"ok,,cpt cm 2 hari",okcpt,positif,positif,positif
7142,aplikasi bagus perlu disempurnakan pada bagian cara bayar per bank karena tidak tampil informasinya,aplikasi bagus sempurna bayar bank tampil informasi,positif,positif,positif
7143,sangat membantu aplikasi signal,bantu aplikasi signal,positif,positif,positif
7144,mantap lebih simpel online. 2hari langsung di kirim kerumah,mantap simpel online langsung kirim rumah,positif,positif,positif
7145,sangat membantu pembayaran pajak kendaraan,bantu bayar pajak kendara,positif,positif,positif
7146,Akan Lebih Baik Lagi Jika Bisa Bayar Pajak dan Yang Lainnya Walaupun Milik Orang Lain Yang Tidak Satu KK.. Karena Itu Sangat Memepermudah Pembayaran Pajak,bayar pajak milik orang kakak mudah bayar pajak,positif,positif,positif
7147,Sangat praktis. pengiriman ke luar Jawa juga cepat.,praktis kirim jawa cepat,positif,positif,positif
7148,simple dan cepat terima kasih SIGNAL-Samsat,simple cepat terima kasih signalsamsat,positif,positif,positif
7149,aplikasi bujang mau bayar pajak aja ribet kali,aplikasi bujang bayar pajak ribet kali,negatif,negatif,negatif
7150,"kendaraan sudah berhasil ditambahkan sebelumnya, tapi tidak muncul di aplikasi, tertera silang, solusi nya gimana?",kendara hasil muncul aplikasi tera silang solusi ya,positif,negatif,negatif
7151,mantap ga bikin ribet membantu banget ga harus ngantri,mantap bikin ribet bantu banget antri,positif,positif,positif
7152,"ini yg ketiga kalinya,, tapi yg sekarang tidak ada stiker barcode pengganti stempel pengesahan..",tiga kali stiker barcode ganti stempel kesah,positif,positif,positif
7153,"jujur kecewa banget udah bolak balik ke alfa ke indo tapi semua gagal,coba pakek brimo pakek go pay jga gak bisaaa kenapa sih,katanya mempermudah nyatanya hasilnya kosong!!",jujur kecewa banget bolak alfa indonesia gagalcoba pakai brimo pakai go pay sihkatanya mudah hasil kosong,negatif,negatif,negatif
7154,"prosesnya lama, sampai 1 minggu lebih",proses minggu,negatif,positif,positif
7155,"bagus, cuma pelayanan kirim dari samsat ke kantor pos sampai seminggu",bagus layan kirim samsat kantor pos minggu,positif,positif,positif
7156,memudahkan pembayaran pajak kendaraan,mudah bayar pajak kendara,positif,positif,positif
7157,layanan cepat dan sesuai .tetap pertahankan . mks,layan cepat sesuai tahan mks,positif,positif,positif
7158,proses lumayan cepat 2-3 harian sudah sampai drmh buktinya,proses lumayan cepat hari drmh bukti,positif,positif,positif
7159,sangat membantu sekali terimakasih banyak,bantu terimakasih,positif,positif,positif
7160,mambantu,mambantu,positif,positif,positif
7161,"Pengirimannya masih cukup lama, selebihnya bagus",kirim lebih bagus,positif,positif,positif
7162,memudahkan transaksi melalui online,mudah transaksi online,positif,positif,positif
7163,aplikasi ngaco mau bayar aja kode pembayaran di buat susah.kode pembayaran selalu gagal.ngaco ngaco,aplikasi aco bayar kode bayar susahkode bayar gagalngaco aco,negatif,negatif,negatif
7164,proses cepat tanpa ribet,proses cepat ribet,positif,positif,positif
7165,"sangat membantu , tak perlu lagi antri",bantu antri,positif,positif,positif
7166,"saya sdh coba pakai aplikasi Signal 3x, sangat membantu sekali utk peroanjangan tahunan, moga kedepan bisa ditingkatkan layanannya sehingga bisa juga utk perpanjangan 5 tahunan, dan bisa juga utk perpanjangan SIM samsat makin Oke👍",coba pakai aplikasi signal kali bantu peroanjangan tahun moga depan tingkat layan panjang tahun panjang sim samsat oke,positif,positif,positif
7167,"Praktis, gak perlu keluar rumah dan antri, pengiriman cepat",praktis rumah antri kirim cepat,positif,positif,positif
7168,"Mempermudah untuk memperpanjang pajak stnk,bagi yg tidak sempat datang ke gerai samsat..",mudah panjang pajak stnkbagi gerai samsat,positif,positif,positif
7169,"memepermudah sekali, tdk perlu antri di samsat untuk bayar pajak",mudah antri samsat bayar pajak,positif,positif,positif
7170,Untuk yg ke 3 kali nya sangat membantu... Terimakasih.... Semoga pelayanan ini tmbah bagus lagi... 👍👍👍👍👍👍👍👍,kali ya bantu terimakasih moga layan bagus,positif,positif,positif
7171,"Mantap, sngt membantu untuk saya yg merantau jadi gak perlu pulang kampung STNK di antar sampai alamat tujuan",mantap bantu rantau pulang kampung stnk alamat tuju,positif,positif,positif
7172,mantaapppppp,mantaapppppp,positif,positif,positif
7173,mantap surantap!,mantap surantap,positif,positif,positif
7174,aplikasi ini sangat membantu untuk bayar pajak tahunan kendaraan secara online dengan mudah dimana pun kita berada apalagi bila sedang di luar kota daerah .semoga kedepannya semakin mudah dan lancar,aplikasi bantu bayar pajak tahun kendara online mudah mana kota daerah moga depan mudah lancar,positif,positif,positif
7175,"sangat membantu bgt,2 tahun ini perpanjang stnk gk perlu antri🥰",bantu banget panjang stnk antri,positif,positif,positif
7176,sangat membantu bagi yang sibuk kerja,bantu sibuk kerja,positif,positif,positif
7177,Simple,simple,positif,positif,positif
7178,Mudah ga ribet... bisa kirim bisa ditambah pilihan jasa pengiriman,mudah ribet kirim tambah pilih jasa kirim,positif,positif,positif
7179,"okelah, walaupun agak telat pengiriman nya dari posnya...",oke telat kirim ya pos,positif,positif,positif
7180,saya berulang kali tidak bisa tahap pembayaran. mohon dibenahi lagi,ulang kali tahap bayar mohon benah,negatif,negatif,negatif
7181,sangat praktis dan membantu.tapi knp th ini 2025 sya byr pjak mhal sekali honda scopi 2023..knp knp knp,praktis membantutapi byr pjak mhal honda scopi,positif,positif,positif
7182,mantap looop,mantap looop,positif,positif,positif
7183,"banyakin korupsinya, bikin aplikasi aja ga bisa sampah",banyak korupsi bikin aplikasi sampah,negatif,negatif,negatif
7184,mantap...g perlu ribet datang k samsat ataupun antri untuk perpanjang pajak kendaraan...sangat membantu skali dengan aplikasi ini...👍,mantapg ribet samsat antri panjang pajak kendaraansangat bantu aplikasi,positif,positif,positif
7185,"sangat membantu untuk pembayaran pajaknya, mudah dan cepat, 2 hari jadi",bantu bayar pajak mudah cepat,positif,positif,positif
7186,Aplikasi yg sangat bermanfaat. Bayar pajak kendaraan jadi sangat mudah dan cepat.,aplikasi manfaat bayar pajak kendara mudah cepat,positif,positif,positif
7187,"First time byr pajak motor lewat e-samsat (online) menurut ku cepet drpd antri di Samsat terdekat. sy byr dihari Sabtu, 06/09/2025 dan pra collecting hampir seminggu (sebab Sabtu ke Sabtu) mulai dr hari Senin status pengiriman dan sampai di hari Rabu 17/09/2025. rekomendasi buat yg mager byr lewat Samsat. Thks",first time byr pajak motor esamsat online ku cepat antri samsat dekat byr hari sabtu pra collecting minggu sabtu sabtu senin status kirim rabu rekomendasi mager byr samsat thks,positif,positif,positif
7188,proses cepat dan mudah area Jawa Barat,proses cepat mudah area jawa barat,positif,positif,positif
7189,"aplikasi kek mana ini mau bayar pajak aja ribet, suruh daftar stnk digital tapi ga bisa, live chatnya cmn jam kerja",aplikasi kayak bayar pajak ribet suruh daftar stnk digital live chatnya cuman jam kerja,negatif,negatif,negatif
7190,bagus membantu,bagus bantu,positif,positif,positif
7191,baik..mudah dan gampangg tdk perlu ngantri lg klo bayar pajak..n memudahkan yh tinggal dluar kota,baikmudah gampangg antri bayar pajakn mudah ya tinggal luar kota,positif,positif,positif
7192,"sangat terbantu sekali dengan ada nya aplikasi signal bisa perpanjang stnk cuma de rumah...KEREN OK BANGET THANK,S SIGNAL👌👍👌👍👌👍👌",bantu ya aplikasi signal panjang stnk deh rumahkeren ok banget thanks signal,positif,positif,positif
7193,Tolong di benerin lagi,tolong benerin,negatif,negatif,negatif
7194,harus lebih di tingkatkan lagi proses pengerjaan nya biar lebih cepat dan gak sampe lama di kirimnya 🙏,tingkat proses kerja ya biar cepat kirim,positif,positif,positif
7195,mantap...lanjutkan samsay good🙏,mantaplanjutkan samsay good,positif,positif,positif
7196,mempermudah bayar pajak..,mudah bayar pajak,positif,positif,positif
7197,"isi data semuaaaaa lancaaaarrr... saat mau bayar, pilih BNI maupun BCA, loading-nya minta ampuuuuunnn... lamaaaaaa banget, muter gak kebuka... alhasil sy tetap tidak bisa bayar... mohon admin bisa segera memperbaiki kendala ini. Sy sudah berusaha bayar pajak online, malah kesulitan bayar... Hadehhh...",isi data semuaaaaa lancaaaarrr bayar pilih bni baca loadingnya ampuuuuunnn lamaaaaaa banget muter buka alhasil bayar mohon admin baik kendala usaha bayar pajak online sulit bayar hadehhh,negatif,negatif,negatif
7198,"Alhamdulillah bayar pajak kendaraannya mudah banget,memang tidak secepat datang ke kantor Samsat!.ini byr pajak kendaraan yg ke 2x,lewat aplikasi SIGNAL!.prosesnya gampang dan tidak terlalu ribet,serta tidak terganggu""calo""!. tinggal nunggu kalau pergantian""Plat nomer""lewat aplikasi SIGNALnya,biar gak ngantri lama di Samsat!.kapan nih????😁!.semoga pajak kami digunakan secara bijak,dan lebih bermanfaat!.",alhamdulillah bayar pajak kendara mudah bangetmemang cepat kantor samsatini byr pajak kendara xlewat aplikasi signalprosesnya gampang ribetserta terganggucalo tinggal tunggu pergantianplat nomerlewat aplikasi signalnyabiar antri samsatkapan nihsemoga pajak bijakdan manfaat,positif,positif,positif
7199,mudah gaperlu cuti,mudah gaperlu cuti,positif,positif,positif
7200,"mantap, praktis..,..drpd byr dtng lngsung ke samsat, ribeetttt..",mantap praktisdrpd byr dtng langsung samsat ribeetttt,positif,positif,positif
7201,pengiriman nya lama... makan waktu 5 hari. kalah sama online shop,kirim ya makan kalah online shop,negatif,positif,negatif
7202,kurang berkenan buka aplikasi nik sudah terdaftar minta sandi nomor telepon tidak terdaftar .....Mencemaskan,kenan buka aplikasi nik daftar sandi nomor telepon daftar cemas,negatif,negatif,negatif
7203,semenjak ada signal bisa bayar pajak dan kerjaan lancar,semenjak signal bayar pajak kerja lancar,positif,positif,positif
7204,Pengiriman tidak sesuai alamat.,kirim sesuai alamat,positif,positif,positif
